ApplicantID,EmployedWith,ProofOfIdentityProvided,NumberOfDependents
APP-8999,Yes,No,5
APP-9002,No,Yes,4
APP-9011,Yes,No,5
APP-9013,Yes,No,4
APP-9049,No,No,4
APP-9072,Yes,Yes,1
APP-9096,No,No,1
APP-9134,No,Yes,1
APP-9217,No,Yes,0
APP-9250,Yes,No,5
APP-9251,Yes,Yes,1
APP-9278,No,No,3
APP-9311,Yes,Yes,1
APP-9329,No,No,4
APP-9353,No,No,4
APP-9427,No,Yes,3
APP-9487,No,No,2
APP-9509,No,Yes,4
APP-9552,Yes,No,4
APP-9553,Yes,Yes,1
APP-9572,Yes,Yes,1
APP-9586,No,No,4
APP-9610,No,Yes,3
APP-9634,No,No,4
APP-9666,No,Yes,1
APP-9741,No,No,5
APP-9760,Yes,Yes,1
APP-9769,Yes,Yes,1
APP-9788,Yes,Yes,3
APP-9851,No,Yes,4
APP-9870,Yes,No,1
APP-9889,No,No,2
APP-9915,No,No,5
APP-9950,Yes,Yes,1
APP-10025,Yes,Yes,0
APP-10062,Yes,No,2
APP-10110,Yes,No,1
APP-10111,No,No,0
APP-10164,Yes,Yes,3
APP-10167,No,No,0
APP-10176,No,Yes,4
APP-10185,Yes,No,5
APP-10187,No,No,4
APP-10197,No,No,3
APP-10202,No,Yes,3
APP-10221,Yes,No,3
APP-10263,Yes,No,0
APP-10312,Yes,Yes,0
APP-10319,Yes,No,3
APP-10323,No,No,0
APP-10358,No,Yes,4
APP-10363,No,Yes,1
APP-10381,Yes,Yes,2
APP-10397,Yes,No,3
APP-10443,No,No,4
APP-10455,Yes,No,0
APP-10466,Yes,Yes,2
APP-10473,No,No,3
APP-10477,Yes,Yes,0
APP-10496,No,No,0
APP-10506,Yes,No,2
APP-10517,No,No,0
APP-10525,No,Yes,2
APP-10550,Yes,Yes,4
APP-10566,No,No,3
APP-10579,No,No,0
APP-10582,No,Yes,1
APP-10613,Yes,Yes,2
APP-10620,No,Yes,4
APP-10643,Yes,No,5
APP-10648,No,No,1
APP-10665,No,No,3
APP-10669,Yes,Yes,4
APP-10711,No,No,2
APP-10721,Yes,Yes,4
APP-10757,Yes,Yes,5
APP-10841,No,Yes,4
APP-10849,No,Yes,4
APP-10901,Yes,No,3
APP-10920,Yes,Yes,1
APP-10928,No,No,4
APP-10982,No,No,0
APP-11106,Yes,No,4
APP-11114,Yes,No,4
APP-11115,No,No,3
APP-11121,No,Yes,3
APP-11138,No,Yes,3
APP-11142,Yes,No,5
APP-11179,No,Yes,3
APP-11183,No,Yes,4
APP-11203,Yes,Yes,4
APP-11266,No,Yes,2
APP-11279,No,No,3
APP-11293,Yes,No,2
APP-11315,No,No,1
APP-11369,No,Yes,3
APP-11371,No,Yes,5
APP-11381,No,No,5
APP-11453,Yes,No,1
APP-11471,Yes,Yes,5
APP-11509,No,No,0
APP-11511,Yes,Yes,4
APP-11569,Yes,Yes,4
APP-11598,No,Yes,2
APP-11618,Yes,No,4
APP-11629,No,No,1
APP-11637,Yes,Yes,4
APP-11705,Yes,No,3
APP-11762,No,Yes,0
APP-11812,No,Yes,2
APP-11828,No,Yes,2
APP-11843,No,No,2
APP-11851,No,Yes,3
APP-11901,No,Yes,4
APP-11906,No,Yes,3
APP-11994,No,No,1
APP-12010,Yes,No,5
APP-12028,No,No,4
APP-12056,Yes,No,3
APP-12106,No,Yes,1
APP-12116,Yes,No,1
APP-12132,No,Yes,3
APP-12154,No,Yes,3
APP-12178,No,No,0
APP-12187,No,No,3
APP-12202,No,Yes,2
APP-12210,Yes,No,4
APP-12212,No,No,1
APP-12228,Yes,Yes,2
APP-12236,No,Yes,5
APP-12290,Yes,Yes,2
APP-12302,No,No,1
APP-12315,No,No,5
APP-12348,No,No,4
APP-12398,No,No,0
APP-12422,No,No,0
APP-12427,Yes,No,5
APP-12441,No,Yes,2
APP-12475,No,No,2
APP-12476,Yes,No,3
APP-12498,Yes,No,0
APP-12565,Yes,No,0
APP-12607,No,Yes,4
APP-12676,Yes,Yes,3
APP-12683,Yes,Yes,1
APP-12771,Yes,No,1
APP-12786,No,Yes,4
APP-12825,No,No,1
APP-12839,No,No,0
APP-12885,No,Yes,2
APP-12904,Yes,No,3
APP-12919,Yes,Yes,1
APP-12966,No,Yes,1
APP-13001,Yes,Yes,1
APP-13090,Yes,No,1
APP-13122,No,No,2
APP-13140,Yes,No,2
APP-13168,No,Yes,5
APP-13172,Yes,Yes,4
APP-13261,No,No,0
APP-13305,Yes,Yes,1
APP-13325,Yes,No,4
APP-13340,Yes,Yes,0
APP-13355,No,Yes,2
APP-13433,No,Yes,1
APP-13436,Yes,No,2
APP-13445,No,Yes,5
APP-13476,No,Yes,1
APP-13527,No,No,2
APP-13554,No,Yes,4
APP-13564,Yes,No,4
APP-13576,No,Yes,2
APP-13639,No,Yes,2
APP-13682,Yes,No,3
APP-13709,Yes,Yes,1
APP-13752,No,Yes,3
APP-13778,No,Yes,2
APP-13793,No,No,4
APP-13805,No,Yes,1
APP-13911,No,No,4
APP-13921,Yes,No,2
APP-13933,Yes,No,3
APP-13959,Yes,No,1
APP-13965,Yes,No,5
APP-13980,Yes,No,3
APP-14001,No,Yes,1
APP-14044,No,No,5
APP-14080,No,Yes,5
APP-14081,No,Yes,4
APP-14091,No,No,0
APP-14112,No,No,1
APP-14169,No,No,2
APP-14182,Yes,No,1
APP-14217,Yes,Yes,5
APP-14271,No,Yes,2
APP-14298,Yes,No,0
APP-14333,No,No,0
APP-14338,Yes,Yes,4
APP-14369,No,Yes,4
APP-14372,No,Yes,0
APP-14380,Yes,No,1
APP-14386,No,Yes,5
APP-14387,Yes,Yes,1
APP-14401,Yes,No,4
APP-14410,Yes,Yes,1
APP-14434,No,Yes,1
APP-14448,Yes,No,1
APP-14475,No,No,1
APP-14487,Yes,Yes,2
APP-14491,Yes,No,4
APP-14564,No,Yes,0
APP-14565,Yes,No,0
APP-14570,Yes,Yes,2
APP-14576,Yes,No,4
APP-14643,No,Yes,5
APP-14681,No,Yes,2
APP-14689,Yes,No,4
APP-14693,Yes,No,2
APP-14728,Yes,No,1
APP-14730,Yes,No,2
APP-14749,No,Yes,2
APP-14764,No,No,3
APP-14804,No,No,4
APP-14809,Yes,Yes,1
APP-14836,No,No,2
APP-14850,No,No,1
APP-14864,No,No,5
APP-14910,No,No,4
APP-14919,No,No,0
APP-14922,No,No,3
APP-14935,Yes,Yes,3
APP-14950,No,No,4
APP-14955,Yes,Yes,3
APP-14978,No,Yes,0
APP-15017,No,Yes,1
APP-15034,No,No,2
APP-15057,Yes,Yes,4
APP-15072,Yes,Yes,5
APP-15081,Yes,No,5
APP-15088,No,Yes,4
APP-15103,No,No,3
APP-15108,No,Yes,2
APP-15128,Yes,Yes,3
APP-15134,No,Yes,3
APP-15138,No,No,1
APP-15140,Yes,Yes,1
APP-15176,No,Yes,3
APP-15186,No,Yes,0
APP-15192,No,No,4
APP-15235,No,Yes,5
APP-15242,Yes,No,0
APP-15258,No,Yes,4
APP-15276,No,Yes,2
APP-15298,No,Yes,2
APP-15333,No,Yes,0
APP-15347,No,Yes,3
APP-15372,No,No,5
APP-15388,No,No,3
APP-15451,Yes,No,2
APP-15490,Yes,Yes,3
APP-15535,Yes,No,1
APP-15550,No,No,2
APP-15566,No,No,4
APP-15577,Yes,Yes,5
APP-15628,Yes,No,4
APP-15640,No,No,3
APP-15654,No,No,4
APP-15681,No,No,4
APP-15696,Yes,No,0
APP-15746,Yes,No,0
APP-15786,Yes,No,4
APP-15816,Yes,No,2
APP-15827,Yes,No,5
APP-15831,Yes,No,4
APP-15838,Yes,No,5
APP-15865,Yes,Yes,1
APP-15871,No,Yes,2
APP-15891,Yes,No,5
APP-15896,Yes,Yes,1
APP-15919,No,Yes,5
APP-15932,No,Yes,1
APP-16018,No,Yes,3
APP-16023,No,No,0
APP-16050,No,No,3
APP-16057,No,Yes,5
APP-16105,No,No,1
APP-16113,No,No,3
APP-16119,No,No,3
APP-16121,Yes,Yes,2
APP-16138,No,No,3
APP-16146,No,Yes,2
APP-16152,No,Yes,3
APP-16164,Yes,No,5
APP-16167,Yes,No,3
APP-16203,No,No,1
APP-16209,Yes,No,1
APP-16215,No,Yes,4
APP-16239,No,Yes,4
APP-16243,No,Yes,2
APP-16249,No,Yes,1
APP-16275,No,Yes,4
APP-16293,No,No,5
APP-16324,No,Yes,3
APP-16352,No,No,1
APP-16360,No,No,5
APP-16364,No,Yes,5
APP-16376,No,Yes,3
APP-16387,Yes,Yes,3
APP-16412,Yes,No,5
APP-16424,Yes,No,2
APP-16446,Yes,Yes,1
APP-16464,No,Yes,3
APP-16490,Yes,No,2
APP-16514,No,No,0
APP-16543,Yes,No,0
APP-16549,Yes,No,3
APP-16572,Yes,No,3
APP-16596,No,Yes,0
APP-16613,Yes,No,4
APP-16632,Yes,Yes,2
APP-16636,No,No,3
APP-16668,Yes,No,0
APP-16687,Yes,Yes,0
APP-16695,No,Yes,0
APP-16722,Yes,Yes,0
APP-16728,Yes,Yes,0
APP-16735,Yes,No,0
APP-16745,Yes,No,3
APP-16773,No,Yes,5
APP-16775,Yes,Yes,5
APP-16789,No,No,2
APP-16794,No,Yes,0
APP-16804,Yes,No,0
APP-16806,No,No,5
APP-16884,Yes,No,0
APP-16891,Yes,No,0
APP-16904,Yes,No,0
APP-16910,Yes,Yes,1
APP-16915,No,No,1
APP-16934,Yes,No,0
APP-16963,No,No,0
APP-16979,No,Yes,4
APP-17042,Yes,Yes,4
APP-17062,No,No,2
APP-17069,No,Yes,1
APP-17074,Yes,No,3
APP-17078,Yes,No,2
APP-17083,Yes,No,2
APP-17094,Yes,Yes,0
APP-17101,No,Yes,0
APP-17128,Yes,Yes,3
APP-17155,No,Yes,4
APP-17162,No,No,0
APP-17171,No,Yes,1
APP-17181,Yes,No,3
APP-17188,Yes,Yes,5
APP-17196,Yes,No,3
APP-17212,Yes,Yes,0
APP-17214,No,Yes,3
APP-17219,Yes,No,4
APP-17230,Yes,No,0
APP-17245,Yes,Yes,4
APP-17265,No,Yes,4
APP-17287,No,Yes,5
APP-17291,No,No,1
APP-17334,Yes,No,0
APP-17346,Yes,Yes,1
APP-17372,No,No,1
APP-17402,No,Yes,3
APP-17405,No,Yes,2
APP-17410,No,Yes,0
APP-17448,Yes,No,4
APP-17455,Yes,Yes,5
APP-17469,No,No,3
APP-17471,Yes,Yes,1
APP-17474,No,No,5
APP-17482,Yes,No,1
APP-17497,Yes,Yes,0
APP-17505,No,No,3
APP-17533,Yes,Yes,5
APP-17555,Yes,Yes,5
APP-17581,Yes,Yes,4
APP-17624,No,Yes,1
APP-17639,Yes,Yes,3
APP-17649,Yes,Yes,4
APP-17663,No,Yes,3
APP-17684,Yes,Yes,1
APP-17686,No,No,1
APP-17691,Yes,No,4
APP-17711,No,Yes,3
APP-17712,Yes,No,1
APP-17750,No,No,3
APP-17764,No,Yes,0
APP-17768,No,Yes,4
APP-17779,Yes,No,2
APP-17790,Yes,No,4
APP-17801,No,No,1
APP-17834,Yes,No,3
APP-17841,Yes,No,5
APP-17863,No,No,4
APP-17869,Yes,No,2
APP-17881,No,No,0
APP-17888,Yes,Yes,1
APP-17895,No,No,3
APP-17900,No,No,0
APP-17907,No,Yes,1
APP-17910,No,Yes,4
APP-17935,Yes,No,4
APP-17944,No,No,2
APP-17974,No,No,5
APP-17982,Yes,Yes,0
APP-18078,No,Yes,4
APP-18087,Yes,Yes,2
APP-18118,No,No,3
APP-18129,Yes,No,3
APP-18153,No,No,0
APP-18164,No,No,3
APP-18194,Yes,Yes,4
APP-18227,No,Yes,3
APP-18241,Yes,No,4
APP-18244,Yes,No,2
APP-18327,Yes,Yes,4
APP-18332,Yes,Yes,4
APP-18352,Yes,No,0
APP-18354,No,No,3
APP-18362,Yes,Yes,4
APP-18364,No,Yes,0
APP-18388,Yes,No,0
APP-18425,No,Yes,0
APP-18445,No,No,1
APP-18452,Yes,Yes,0
APP-18472,No,No,0
APP-18496,No,No,4
APP-18500,No,Yes,0
APP-18522,Yes,Yes,0
APP-18524,Yes,No,1
APP-18538,No,Yes,1
APP-18545,No,Yes,0
APP-18551,Yes,Yes,0
APP-18607,Yes,Yes,4
APP-18646,No,No,4
APP-18652,No,No,1
APP-18658,No,Yes,4
APP-18664,Yes,No,3
APP-18672,Yes,Yes,5
APP-18699,Yes,Yes,2
APP-18708,Yes,Yes,1
APP-18747,Yes,No,1
APP-18755,No,No,4
APP-18764,No,Yes,2
APP-18792,No,Yes,2
APP-18827,Yes,No,0
APP-18846,Yes,No,1
APP-18960,Yes,No,0
APP-18966,Yes,Yes,4
APP-18992,No,No,2
APP-19022,Yes,No,0
APP-19042,Yes,No,2
APP-19118,Yes,Yes,5
APP-19139,Yes,Yes,0
APP-19191,No,No,0
APP-19208,Yes,No,2
APP-19215,No,Yes,4
APP-19246,No,Yes,5
APP-19308,Yes,Yes,3
APP-19317,Yes,Yes,3
APP-19332,No,Yes,1
APP-19364,No,Yes,5
APP-19395,Yes,Yes,3
APP-19407,Yes,Yes,5
APP-19414,Yes,No,2
APP-19425,Yes,Yes,1
APP-19526,Yes,No,3
APP-19538,Yes,Yes,5
APP-19577,Yes,Yes,3
APP-19590,Yes,No,0
APP-19595,Yes,No,0
APP-19627,No,No,3
APP-19634,No,Yes,5
APP-19647,No,No,5
APP-19707,Yes,Yes,5
APP-19752,No,No,1
APP-19785,Yes,Yes,2
APP-19808,No,No,5
APP-19812,Yes,No,3
APP-19832,Yes,No,2
APP-19903,No,No,5
APP-19904,No,No,1
APP-19970,No,No,4
APP-20016,Yes,No,1
APP-20022,Yes,Yes,4
APP-20055,Yes,Yes,0
APP-20134,No,No,2
APP-20147,No,No,0
APP-20178,No,No,2
APP-20233,Yes,Yes,1
APP-20286,No,No,3
APP-20309,Yes,Yes,3
APP-20355,Yes,Yes,4
APP-20365,No,Yes,3
APP-20412,No,Yes,2
APP-20438,Yes,Yes,3
APP-20489,Yes,No,0
APP-20552,Yes,No,5
APP-20584,Yes,Yes,3
APP-20588,Yes,Yes,0
APP-20606,Yes,No,4
APP-20640,Yes,No,4
APP-20682,No,No,1
APP-20703,No,Yes,1
APP-20712,Yes,Yes,1
APP-20731,No,Yes,0
APP-20766,No,Yes,1
APP-20769,Yes,No,4
APP-20813,Yes,Yes,3
APP-20824,No,No,0
APP-20872,No,No,1
APP-21080,No,Yes,1
APP-21089,No,No,4
APP-21101,Yes,No,3
APP-21111,Yes,No,2
APP-21137,Yes,No,3
APP-21152,Yes,Yes,1
APP-21167,Yes,No,1
APP-21210,Yes,Yes,3
APP-21219,Yes,Yes,3
APP-21231,Yes,No,4
APP-21244,Yes,Yes,2
APP-21265,Yes,Yes,0
APP-21360,Yes,Yes,0
APP-21378,Yes,Yes,2
APP-21403,No,No,4
APP-21430,No,No,3
APP-21457,Yes,Yes,1
APP-21481,Yes,Yes,2
APP-21543,No,Yes,4
APP-21594,No,Yes,5
APP-21640,No,Yes,2
APP-21657,Yes,No,1
APP-21676,No,No,0
APP-21736,No,No,3
APP-21760,No,Yes,4
APP-21764,Yes,Yes,0
APP-21777,No,Yes,1
APP-21792,No,Yes,2
APP-21803,No,No,4
APP-21818,Yes,Yes,5
APP-21833,No,Yes,4
APP-21838,Yes,Yes,0
APP-21862,Yes,No,0
APP-21871,No,No,1
APP-21890,Yes,No,5
APP-21896,No,Yes,0
APP-21899,No,No,4
APP-21903,Yes,Yes,5
APP-21911,No,No,3
APP-21919,No,No,1
APP-21971,Yes,Yes,1
APP-21981,No,Yes,3
APP-22059,Yes,Yes,1
APP-22067,Yes,No,5
APP-22072,Yes,No,1
APP-22089,Yes,No,0
APP-22105,Yes,No,1
APP-22113,No,No,4
APP-22152,No,No,0
APP-22171,No,Yes,2
APP-22174,Yes,Yes,4
APP-22257,No,Yes,2
APP-22266,Yes,No,5
APP-22301,Yes,No,0
APP-22350,Yes,No,4
APP-22382,Yes,Yes,0
APP-22400,Yes,Yes,5
APP-22441,No,Yes,2
APP-22443,No,Yes,3
APP-22490,Yes,No,5
APP-22512,Yes,Yes,5
APP-22529,Yes,Yes,5
APP-22550,No,No,1
APP-22557,No,Yes,5
APP-22568,No,No,3
APP-22586,No,No,5
APP-22597,Yes,No,3
APP-22612,No,Yes,0
APP-22666,Yes,Yes,0
APP-22677,Yes,No,1
APP-22680,No,Yes,3
APP-22729,Yes,No,5
APP-22733,No,Yes,4
APP-22734,Yes,No,0
APP-22738,No,Yes,5
APP-22815,Yes,Yes,3
APP-22825,Yes,No,2
APP-22838,No,No,5
APP-22857,No,No,0
APP-22869,No,Yes,1
APP-22872,No,No,3
APP-22883,No,No,0
APP-22908,No,Yes,1
APP-22944,Yes,Yes,1
APP-22948,Yes,Yes,2
APP-22952,Yes,Yes,1
APP-22957,No,No,0
APP-22961,Yes,Yes,0
APP-22971,No,Yes,5
APP-22988,No,Yes,4
APP-23009,No,Yes,3
APP-23023,Yes,Yes,3
APP-23045,Yes,Yes,2
APP-23056,No,Yes,3
APP-23063,Yes,No,1
APP-23068,Yes,Yes,0
APP-23091,Yes,No,1
APP-23098,Yes,Yes,3
APP-23107,Yes,No,5
APP-23133,No,No,5
APP-23153,Yes,No,4
APP-23177,No,No,3
APP-23204,Yes,Yes,2
APP-23232,No,No,0
APP-23234,No,Yes,1
APP-23261,Yes,No,3
APP-23284,Yes,Yes,0
APP-23290,Yes,No,5
APP-23301,No,No,1
APP-23315,No,Yes,3
APP-23330,No,Yes,3
APP-23335,Yes,No,5
APP-23368,Yes,No,3
APP-23370,Yes,No,2
APP-23394,Yes,Yes,2
APP-23420,No,No,1
APP-23433,Yes,Yes,1
APP-23436,No,No,0
APP-23444,No,Yes,4
APP-23479,No,No,0
APP-23506,Yes,Yes,5
APP-23510,No,No,4
APP-23529,No,No,3
APP-23582,No,No,3
APP-23639,No,No,0
APP-23644,No,Yes,2
APP-23660,No,Yes,2
APP-23677,Yes,Yes,1
APP-23736,No,No,1
APP-23738,No,No,0
APP-23762,No,Yes,2
APP-23788,No,Yes,3
APP-23898,Yes,Yes,5
APP-23909,No,No,3
APP-23938,No,No,2
APP-23975,Yes,Yes,0
APP-24064,Yes,No,1
APP-24066,No,No,0
APP-24177,Yes,Yes,2
APP-24231,Yes,No,0
APP-24252,Yes,No,2
APP-24327,No,No,0
APP-24438,Yes,No,4
APP-24475,Yes,No,3
APP-24491,No,Yes,4
APP-24518,No,Yes,2
APP-24553,No,Yes,3
APP-24558,Yes,No,4
APP-24612,No,Yes,5
APP-24634,Yes,No,0
APP-24645,No,Yes,0
APP-24664,No,Yes,3
APP-24667,Yes,No,2
APP-24743,No,Yes,5
APP-24747,Yes,Yes,4
APP-24836,No,No,2
APP-24887,Yes,No,0
APP-24915,No,Yes,1
APP-25003,Yes,Yes,1
APP-25053,Yes,No,2
APP-25079,No,No,0
APP-25094,No,Yes,0
APP-25108,No,No,1
APP-25174,Yes,Yes,1
APP-25185,Yes,No,5
APP-25235,No,Yes,4
APP-25239,Yes,No,4
APP-25359,Yes,Yes,1
APP-25392,No,Yes,2
APP-25407,Yes,Yes,5
APP-25434,Yes,Yes,3
APP-25486,Yes,Yes,0
APP-25492,No,Yes,0
APP-25494,No,No,0
APP-25544,Yes,Yes,4
APP-25557,No,Yes,1
APP-25566,Yes,No,5
APP-25607,No,No,5
APP-25653,No,No,4
APP-25660,No,No,1
APP-25678,Yes,No,2
APP-25738,No,No,4
APP-25760,No,No,1
APP-25795,No,No,2
APP-25807,No,No,4
APP-25818,No,Yes,0
APP-25833,Yes,Yes,2
APP-25883,No,Yes,4
APP-25945,No,Yes,1
APP-25950,No,Yes,0
APP-25990,Yes,No,1
APP-26053,Yes,Yes,3
APP-26080,Yes,No,3
APP-26092,Yes,No,4
APP-26126,Yes,Yes,2
APP-26135,No,Yes,5
APP-26147,Yes,Yes,2
APP-26157,Yes,No,4
APP-26174,Yes,No,4
APP-26189,Yes,No,5
APP-26227,No,Yes,0
APP-26257,Yes,Yes,1
APP-26263,Yes,No,5
APP-26300,No,Yes,1
APP-26331,No,Yes,3
APP-26371,Yes,Yes,3
APP-26377,No,No,4
APP-26381,No,Yes,2
APP-26385,No,No,2
APP-26393,Yes,Yes,0
APP-26404,No,No,3
APP-26415,Yes,Yes,0
APP-26423,Yes,Yes,1
APP-26440,Yes,No,4
APP-26445,Yes,Yes,2
APP-26455,No,No,3
APP-26456,No,No,3
APP-26475,Yes,Yes,5
APP-26526,Yes,Yes,4
APP-26584,Yes,No,4
APP-26590,No,No,5
APP-26601,No,No,3
APP-26604,No,Yes,3
APP-26626,No,No,2
APP-26662,No,Yes,2
APP-26663,No,Yes,4
APP-26676,Yes,No,1
APP-26700,No,No,1
APP-26728,No,Yes,4
APP-26743,No,No,4
APP-26751,No,Yes,0
APP-26776,No,No,1
APP-26799,No,No,3
APP-26816,No,Yes,0
APP-26827,Yes,Yes,0
APP-26839,Yes,No,5
APP-26859,No,No,4
APP-26862,Yes,No,2
APP-26887,No,No,0
APP-26888,No,Yes,4
APP-26894,No,No,0
APP-26920,No,No,5
APP-26923,Yes,Yes,2
APP-26944,No,No,4
APP-26977,No,No,2
APP-26985,Yes,No,2
APP-26989,Yes,No,3
APP-26992,No,Yes,2
APP-27025,No,No,2
APP-27029,No,No,2
APP-27052,No,No,1
APP-27058,Yes,Yes,3
APP-27065,Yes,No,1
APP-27098,Yes,Yes,2
APP-27123,No,No,1
APP-27136,Yes,No,4
APP-27142,No,No,5
APP-27161,No,Yes,5
APP-27167,No,No,5
APP-27189,Yes,Yes,1
APP-27227,No,No,4
APP-27246,Yes,No,0
APP-27248,Yes,Yes,3
APP-27301,Yes,No,5
APP-27314,No,No,1
APP-27325,Yes,No,0
APP-27354,No,No,2
APP-27361,Yes,No,4
APP-27364,Yes,Yes,5
APP-27370,Yes,Yes,1
APP-27394,No,No,0
APP-27395,No,No,5
APP-27404,No,Yes,0
APP-27446,No,Yes,3
APP-27458,No,No,2
APP-27465,No,No,3
APP-27472,No,Yes,1
APP-27488,No,No,2
APP-27501,Yes,Yes,1
APP-27509,No,Yes,4
APP-27518,No,Yes,1
APP-27529,No,No,5
APP-27535,No,No,2
APP-27540,Yes,Yes,1
APP-27562,No,Yes,3
APP-27569,Yes,No,0
APP-27611,No,No,1
APP-27612,No,No,2
APP-27627,No,No,3
APP-27658,Yes,Yes,5
APP-27680,Yes,No,2
APP-27689,Yes,Yes,4
APP-27695,Yes,No,0
APP-27707,No,Yes,3
APP-27738,No,Yes,0
APP-27744,No,Yes,1
APP-27759,No,Yes,0
APP-27806,Yes,Yes,1
APP-27816,Yes,Yes,5
APP-27823,Yes,Yes,3
APP-27851,No,Yes,2
APP-1349,No,No,3
APP-1377,No,No,2
APP-1420,Yes,No,5
APP-1431,Yes,Yes,2
APP-1481,No,Yes,0
APP-1492,Yes,No,2
APP-1560,No,Yes,4
APP-1640,Yes,Yes,4
APP-1657,Yes,No,0
APP-1734,No,No,0
APP-1746,Yes,Yes,3
APP-1796,No,No,4
APP-1819,No,Yes,5
APP-1890,No,No,4
APP-1957,No,Yes,2
APP-1962,No,Yes,3
APP-1975,Yes,Yes,3
APP-1982,No,No,3
APP-1998,No,Yes,1
APP-2028,Yes,No,2
APP-2034,No,Yes,0
APP-2049,No,Yes,5
APP-2071,No,Yes,3
APP-2093,No,Yes,2
APP-2127,Yes,No,5
APP-2135,No,No,2
APP-2161,Yes,Yes,2
APP-2199,Yes,Yes,4
APP-2301,No,No,5
APP-2309,No,No,0
APP-2391,Yes,Yes,3
APP-2407,No,Yes,0
APP-2433,No,Yes,0
APP-2446,No,Yes,4
APP-2459,No,Yes,0
APP-2461,No,No,0
APP-2485,Yes,Yes,2
APP-2532,Yes,Yes,2
APP-2547,No,No,3
APP-2559,Yes,Yes,1
APP-2610,No,Yes,3
APP-2618,No,No,3
APP-2623,No,No,2
APP-2662,Yes,No,0
APP-2667,Yes,Yes,4
APP-2683,Yes,Yes,5
APP-2700,No,No,3
APP-2747,Yes,Yes,1
APP-2755,No,No,3
APP-2908,Yes,Yes,0
APP-2926,No,Yes,3
APP-2936,Yes,No,0
APP-2942,No,No,0
APP-2947,Yes,No,4
APP-3001,Yes,Yes,4
APP-3015,No,No,5
APP-3038,Yes,Yes,5
APP-3065,No,No,3
APP-3077,No,Yes,5
APP-3082,No,Yes,4
APP-3092,No,Yes,1
APP-3149,Yes,Yes,2
APP-3177,Yes,No,5
APP-3252,Yes,Yes,3
APP-3275,Yes,No,5
APP-3291,Yes,Yes,4
APP-3295,Yes,Yes,1
APP-3346,No,Yes,2
APP-3352,No,No,5
APP-3360,Yes,No,1
APP-3373,Yes,Yes,5
APP-3383,Yes,Yes,3
APP-3419,Yes,Yes,2
APP-3477,No,No,5
APP-3483,Yes,No,4
APP-3519,Yes,Yes,0
APP-3528,No,Yes,5
APP-3546,No,No,4
APP-3563,No,Yes,5
APP-3564,No,No,5
APP-3585,Yes,Yes,0
APP-3611,Yes,No,1
APP-3620,Yes,Yes,5
APP-3641,Yes,No,0
APP-3644,No,No,0
APP-3659,No,Yes,1
APP-3685,Yes,Yes,5
APP-3705,Yes,Yes,5
APP-3746,Yes,No,1
APP-3772,No,No,0
APP-3781,Yes,No,0
APP-3796,Yes,Yes,3
APP-3807,No,Yes,4
APP-3820,Yes,No,2
APP-3829,Yes,No,1
APP-3848,Yes,Yes,1
APP-3884,Yes,No,0
APP-3890,Yes,No,1
APP-3931,Yes,Yes,4
APP-3949,No,Yes,5
APP-3961,No,No,3
APP-3972,No,Yes,5
APP-3989,No,Yes,5
APP-4012,Yes,Yes,3
APP-4025,No,No,0
APP-4067,Yes,No,5
APP-4077,Yes,No,5
APP-4114,Yes,No,0
APP-4139,Yes,No,2
APP-4140,No,Yes,4
APP-4189,Yes,Yes,1
APP-4262,Yes,Yes,0
APP-4293,Yes,No,2
APP-4308,Yes,Yes,3
APP-4324,Yes,No,1
APP-4328,Yes,Yes,5
APP-4333,Yes,Yes,3
APP-4358,No,Yes,3
APP-4391,Yes,Yes,4
APP-4396,Yes,Yes,0
APP-4425,No,No,0
APP-4493,No,No,0
APP-4523,Yes,No,3
APP-4531,Yes,Yes,2
APP-4538,No,No,4
APP-4549,Yes,No,4
APP-4560,No,Yes,3
APP-4587,Yes,No,0
APP-4612,No,No,5
APP-4644,No,Yes,2
APP-4689,No,Yes,0
APP-4714,Yes,Yes,4
APP-4725,Yes,No,2
APP-4740,Yes,Yes,1
APP-4750,No,Yes,1
APP-4757,No,No,3
APP-4808,Yes,Yes,1
APP-4817,No,Yes,5
APP-4820,Yes,Yes,4
APP-4883,Yes,No,4
APP-4895,No,Yes,1
APP-4926,Yes,Yes,3
APP-4936,Yes,Yes,3
APP-5001,Yes,Yes,2
APP-5006,No,No,1
APP-5032,No,No,1
APP-5039,No,No,5
APP-5079,No,Yes,4
APP-5125,No,Yes,1
APP-5142,Yes,Yes,0
APP-5177,No,Yes,3
APP-5218,No,No,5
APP-5221,No,Yes,3
APP-5244,No,Yes,5
APP-5256,No,Yes,5
APP-5273,Yes,Yes,2
APP-5286,Yes,No,1
APP-5299,No,Yes,3
APP-5308,No,No,1
APP-5337,No,No,4
APP-5348,Yes,Yes,3
APP-5359,Yes,No,1
APP-5385,No,Yes,1
APP-5393,No,Yes,5
APP-5402,No,No,2
APP-5420,Yes,Yes,3
APP-5444,No,Yes,0
APP-5480,No,No,5
APP-5493,No,No,3
APP-5507,Yes,Yes,4
APP-5521,Yes,No,1
APP-5539,No,No,3
APP-5544,Yes,Yes,1
APP-5575,No,No,2
APP-5585,Yes,No,2
APP-5598,No,No,3
APP-5617,Yes,No,2
APP-5632,Yes,Yes,5
APP-5640,No,No,1
APP-5649,No,Yes,4
APP-5668,Yes,No,5
APP-5683,Yes,Yes,3
